comment_id,source_url,author,content,posted_at,collected_at
72519c2c1e7cf72062735e34daf8d25ac4a63ed7,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#4il0] 枝ミス 2025-12-07 (日) 20:51:05 [ID:m-7h4g-bcfd-bci9],2025-12-07T11:51:05+00:00,2025-12-13T07:45:38.025870+00:00
3bb055b9b9a3fffba9a8c3cbf201f4adf8579e34,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#8rsd] 狙われ持たない代わりに夜の彗星メインでタゲられないようにするのってあり? 2025-12-08 (月) 09:05:16 [ID:m-1079-cdee-7z3l] [#b9rl] 悪くないと思うけどグノスターだけはやめたほうがいい あれに夜の彗星使うとなんかタゲが変なことになるみたいで一度隠者と組んだときに赤マーカーがこちらについてサテライトレーザーもこちらを狙ってるのにフォルティスの突進は隠者に行くとかわけわからないことが起きた グノスターの光弾も変なヘイトの向き方してたし予測不可能な挙動する可能性があると思う 2025-12-08 (月) 11:46:16 [ID:m-5xom-f61e-9zgv] [#5i4s] 常夜のアニムスが出る前の話ね 隠者もこの事態は想定してなかったのかいきなり轢き殺されてそこからパニック起こしたのか色々グダグダになって前半すら乗り切れなかった あれは仮に自分に起きたとしてもどうしようもない乙り方だったわ… 2025-12-08 (月) 11:52:53 [ID:m-c4o1-f61e-9zgv] [#3vo3] それ夜の彗星関係ないかも？ 彗星狙われいなくても何度か遭遇した。 咆哮前後で遠距離からボコスカ殴ってると多分発生する。 レーザーと突進でターゲット選定のタイミングが違うか、レーザーはグノ、突進はフォルティスへの攻撃でタゲを受けやすいとかあるんじゃないかと思うんだけど... 2025-12-08 (月) 19:45:59 [ID:m-64qk-6f28-7q7d] [#7bvk] 夜の彗星でも結局タゲ取ることになるから意味ない あと狙われにくいも、タゲ変更判定時やターゲット中に一定確率で強制対象外にする挙動のはずだから、ダメコンでヘイト管理する考え方と同じにしたらダメですね 2025-12-08 (月) 11:57:09 [ID:p-8qty-24c4-1oac],2025-12-08T00:05:16+00:00,2025-12-13T07:45:38.025870+00:00
58a05403b3e1e8d3026673743ef68b6cd68654fe,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#b9rl] 悪くないと思うけどグノスターだけはやめたほうがいい あれに夜の彗星使うとなんかタゲが変なことになるみたいで一度隠者と組んだときに赤マーカーがこちらについてサテライトレーザーもこちらを狙ってるのにフォルティスの突進は隠者に行くとかわけわからないことが起きた グノスターの光弾も変なヘイトの向き方してたし予測不可能な挙動する可能性があると思う 2025-12-08 (月) 11:46:16 [ID:m-5xom-f61e-9zgv] [#5i4s] 常夜のアニムスが出る前の話ね 隠者もこの事態は想定してなかったのかいきなり轢き殺されてそこからパニック起こしたのか色々グダグダになって前半すら乗り切れなかった あれは仮に自分に起きたとしてもどうしようもない乙り方だったわ… 2025-12-08 (月) 11:52:53 [ID:m-c4o1-f61e-9zgv] [#3vo3] それ夜の彗星関係ないかも？ 彗星狙われいなくても何度か遭遇した。 咆哮前後で遠距離からボコスカ殴ってると多分発生する。 レーザーと突進でターゲット選定のタイミングが違うか、レーザーはグノ、突進はフォルティスへの攻撃でタゲを受けやすいとかあるんじゃないかと思うんだけど... 2025-12-08 (月) 19:45:59 [ID:m-64qk-6f28-7q7d],2025-12-08T02:46:16+00:00,2025-12-13T07:45:38.025870+00:00
f869afc411bf3af4ed2654cd1290a75f4439c8ff,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#7bvk] 夜の彗星でも結局タゲ取ることになるから意味ない あと狙われにくいも、タゲ変更判定時やターゲット中に一定確率で強制対象外にする挙動のはずだから、ダメコンでヘイト管理する考え方と同じにしたらダメですね 2025-12-08 (月) 11:57:09 [ID:p-8qty-24c4-1oac],2025-12-08T02:57:09+00:00,2025-12-13T07:45:38.025870+00:00
07f9406c3da17b94b1123941d5cb51cfb44cee75,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#7ck9] さりげなく通常遺物の方にも『潜在する力から○○が出やすくなる』が出てくるようになったおかげで祈祷型隠者出しやすくなった気がする 2025-12-08 (月) 13:23:24 [ID:m-ec39-80cf-a6lq] [#d6hc] でも祈祷の火力上がったわけじゃないから相変わらず使うメリットがないんよね 2025-12-08 (月) 18:27:17 [ID:m-eps9-f849-4775] [#1rd3] FP無限の隠者で使えるってだけで復讐者や葬儀屋よりも遥かに良い 2025-12-08 (月) 20:22:00 [ID:m-d23b-bcfd-bci9] [#2sh9] 一番言いたい事は正にそれ。 復讐者だと星光モグモグが地味に面倒臭いのと女性陣との奪い合いになるから常夜グノ遺物をつけなきゃいけなかったりと工夫しなくちゃいけない分、隠者だとスキルでFP回収出来るのが偉いから、遺物構成も特定のスペル特化もしやすいから嬉しかったりする。 強いて言うなら、術者共通の脆さとステップ回避くらい、かな。 2025-12-10 (水) 00:05:54 [ID:m-7bwq-adb4-a6lq] [#aq1g] 聖印ガチャが厳しいので、DLC後は特定祈祷持ち込める復讐者の方がいい気がする。隠者は普通に魔術使った方が強いんじゃないかな。 2025-12-10 (水) 12:57:07 [ID:p-8y5t-1533-1oac],2025-12-08T04:23:24+00:00,2025-12-13T07:45:38.025870+00:00
6db2c6c338603c1fd8ac05e12e5d0443392d2c90,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#d6hc] でも祈祷の火力上がったわけじゃないから相変わらず使うメリットがないんよね 2025-12-08 (月) 18:27:17 [ID:m-eps9-f849-4775],2025-12-08T09:27:17+00:00,2025-12-13T07:45:38.025870+00:00
8ac30e0a42a02a51c221b22afdf62b7a60181c0d,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#1rd3] FP無限の隠者で使えるってだけで復讐者や葬儀屋よりも遥かに良い 2025-12-08 (月) 20:22:00 [ID:m-d23b-bcfd-bci9] [#2sh9] 一番言いたい事は正にそれ。 復讐者だと星光モグモグが地味に面倒臭いのと女性陣との奪い合いになるから常夜グノ遺物をつけなきゃいけなかったりと工夫しなくちゃいけない分、隠者だとスキルでFP回収出来るのが偉いから、遺物構成も特定のスペル特化もしやすいから嬉しかったりする。 強いて言うなら、術者共通の脆さとステップ回避くらい、かな。 2025-12-10 (水) 00:05:54 [ID:m-7bwq-adb4-a6lq],2025-12-08T11:22:00+00:00,2025-12-13T07:45:38.025870+00:00
af678b70b7b110188649f7b885c3f2f16e04eaba,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#aq1g] 聖印ガチャが厳しいので、DLC後は特定祈祷持ち込める復讐者の方がいい気がする。隠者は普通に魔術使った方が強いんじゃないかな。 2025-12-10 (水) 12:57:07 [ID:p-8y5t-1533-1oac],2025-12-10T03:57:07+00:00,2025-12-13T07:45:38.025870+00:00
8b10af5c42188a3ab5edee6f9ab361d40c7642a5,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#bmde] 輝剣特化はどうなの？遺物でフルブーストした魔術を開幕から使えるのは強そうなんだけど移行先の上振れがないから弱いか？ 2025-12-08 (月) 20:59:59 [ID:m-7mf3-f849-cx7n] [#dp35] 浅き夜で輝剣強化×2でしか試せてないけど可能性は感じる ただ結晶みたいに目に見えて敵のHPが減っていく爽快感はないから玄人向け止まりかな 2025-12-08 (月) 21:30:56 [ID:m-5eyv-f849-9zgv] [#x5di] 特化すればちゃんと強いよ。威力は申し分なく出る どちらかというとダメージがワンテンポ遅れて出る使いづらさの方が問題だと思う 盾めくりできたり強みもあるっちゃあるけど 2025-12-08 (月) 22:41:00 [ID:p-14dj-ea39-85ta] [#8sz2] 輝剣変更輝剣強化侵入者とかいう一見神遺物が手に入ったのでやったけど強くは無い。 つぶてよりタイムラグがある代わりに威力が高く溜め使用可能、なのは良いが中盤以降に手に入る強力な魔術は超えられない。 雑魚狩りはアークが優秀過ぎるし、ボス狩りは結晶や速剣の方が強い。 せめて巨剣陣がレア杖の固定枠だったら可能性があったかも知れない。 結晶や速剣に特化出来ないなら付いてるだけマシ、と言う評価。 一応ソロなら盾持ちへ有効なので便利ではある。 2025-12-08 (月) 22:45:19 [ID:p-7597-2fdf-8eiw] [#bz7s] やっぱ微妙なんか… 重力の初期変更ならまた違ったろうに輝剣じゃ力不足か 2025-12-09 (火) 07:01:02 [ID:m-aar4-e951-cx7n] [#1wce] ソロ用でビルド組んでおくのはアリだと思う。接敵するまでスタミナ消費なしで輝剣を大量設置できるので深度5のフィールドボスもサクッと倒せる。あとマルチと違ってソロならかなり当てやすい 2025-12-09 (火) 10:26:19 [ID:p-6jw4-190f-7kux] [#f2pe] おもろいけど展開してサブの礫撃つみたいなスタイルになると思うけど 気がつけば礫ばっかり撃ってる事に気がつくよ 2025-12-09 (火) 14:19:13 [ID:p-6l4d-3a71-85ta] [#5gew] 輝剣は持久戦か体勢崩しを一気に狙う時には強いけど、マルチだと相性悪くて別の魔術で良いかなってなるはず 2025-12-09 (火) 18:00:30 [ID:p-8qty-24c4-3l7g],2025-12-08T11:59:59+00:00,2025-12-13T07:45:38.025870+00:00
8f2619203cfc838704013bad432c625588ee3095,https://kamikouryaku.net/nightreign_eldenring/?%E9%9A%A0%E8%80%85,,[#dp35] 浅き夜で輝剣強化×2でしか試せてないけど可能性は感じる ただ結晶みたいに目に見えて敵のHPが減っていく爽快感はないから玄人向け止まりかな 2025-12-08 (月) 21:30:56 [ID:m-5eyv-f849-9zgv],2025-12-08T12:30:56+00:00,2025-12-13T07:45:38.025870+00:00
